candidate_id	repair_status	detail
LiD3-1	clustered	/root/LiSPER_remote/LiSPER_LiCl/systems/LiD3-1/gromacs/cluster_20ns_repair/representative_top_cluster.pdb
LiND-1	not_produced	production not marked produced in summary
IDP-Li-1	clustered	/root/LiSPER_remote/LiSPER_LiCl/systems/IDP-Li-1/gromacs/cluster_20ns_repair/representative_top_cluster.pdb
IDP-Li-2	not_produced	production not marked produced in summary
LowCharge-Li	not_produced	production not marked produced in summary
LiD2-IDP	not_produced	production not marked produced in summary
StrongBind-Li	clustered	/root/LiSPER_remote/LiSPER_LiCl/systems/StrongBind-Li/gromacs/cluster_20ns_repair/representative_top_cluster.pdb
SoftCage-Li	not_produced	production not marked produced in summary
IDP-Rich-Li	not_produced	production not marked produced in summary
Control-Negative	not_produced	production not marked produced in summary
